street_address,suburb,city,postcode,property_type2,bedrooms,bathrooms,garage_parks,offstreet_parks,Carparks,land_size,floor_size,year_built,last_rent_price,last_rent_date,days_on_market,agency,capital_value,land_value,improvement_value,valuation,land_use,development_zone,position,view,roof_construction,wall_construction,category,furnishings,furnishings_evidence,pets,garage,Latitude,Longitude
1/33 SUFFOLK STREET,PHILLIPSTOWN,CHRISTCHURCH,8011,,2,1,1,,1,94.5,72,2025,380,3/04/2025,7,The Good Girls Property Management Ltd,410000,190000,220000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1960's-average,nill,,,YES,-43.5338159,172.6608402
107 WALTHAM ROAD,SYDENHAM,CHRISTCHURCH,8023,Unit,2,1,,2,6,106,74.5,1970,380,3/07/2025,2,Inspire Property Management,545000,210000,335000,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Purpose built flat-1970's-average,nill,,,NO,-43.5495701,172.6464177
33A FENDALTON ROAD,FENDALTON,CHRISTCHURCH,8014,Unit,2,1,,4,4,98,80,1960,380,26/02/2025,7,-,700000,556164.3836,143835.6164,1/08/2022,Multi-unit,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Purpose built flat-1960's-average,nill,,,NO,-43.5219854,172.6093749
4/359 Gloucester Street,Linwood,Christchurch City,8011,unit,2,1,1,1,2,140,83.25,2025,380,10/09/2025,14,"Braziers Limited, (Licensed: REAA 2008)",750000,381901.8405,368098.1595,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Purpose built flat-Mixed Age-average,,,,Yes,-43.5294774,172.6519748
42A Hansons Lane,Upper Riccarton,Christchurch City,8041,Unit,2,1,,1,1,612,100,1950,380,27/08/2025,28,Wolfbrook Property Management,580000,405000,175000,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Tile Profile,"Roughcast,etc",Residential-OYO-1950's-poor,,,Pets OK,No,-43.5320999,172.5737463
42 HANSONS LANE,UPPER RICCARTON,CHRISTCHURCH,8041,Unit,2,1,,1,1,123,100,1950,380,28/08/2025,13,Wolfbrook Property Management,580000,346666.6667,233333.3333,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Tile Profile,"Roughcast,etc",Residential-OYO-1950's-poor,nill,,Pets OK,NO,-43.5349811,172.5739698
2/24 HAAST STREET,LINWOOD,CHRISTCHURCH,8011,Unit,2,1,,,,521,130,1925,380,15/07/2025,7,Harcourts Vision Property Management Ltd,530000,405000,125000,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Converted Flat-1914/1929-average,nill,,,NO,-43.5278904,172.6553932
4/556 HEREFORD STREET,LINWOOD,CHRISTCHURCH,8011,Unit,2,1,1,,1,,70,1975,380,8/07/2025,7,The Good Girls Property Management Ltd,1050000,615000,435000,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Purpose built flat-1970's-average,nill,,,YES,-43.5322032,172.6650832
1054 COLOMBO STREET,ST ALBANS,CHRISTCHURCH,8014,Unit,1,1,,,,71,50.5,1985,385,17/05/2025,71,"Braziers Limited, (Licensed: Reaa 2008)",470000,230300,239700,1/08/2022,Multi-unit,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Purpose built flat-1980's-average,nill,,No,NO,-43.5144386,172.6367842
6/613 Cashel Street,Linwood,Christchurch City,8011,apartment,1,1,2,,1,77,56,2025,385,9/09/2025,15,Metro Advances Limited,527500,237153.3613,290346.6387,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Purpose built flat-1970's-average,nill,unfurnished,,No,-43.53276,172.6690972
1/15 Shearer Ave,Papanui,Christchurch City,8052,house,1,1,,1,1,77,56,1950,385,15/09/2025,9,Quality Property Management,790000,543766.2338,246233.7662,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Tile Profile,Brick,Residential-Purpose built flat-1950's-average,partial,fridge;washing machine,Pets OK,No,-43.491433,172.614931
8-1054 Colombo Street,St. Albans,Christchurch City,,unit,1,1,,1,1,77,56,,385,24/09/2025,0,"Braziers Limited, (Licensed: REAA 2008)",630000,351191.4894,278808.5106,1/08/2022,Single Unit excluding Bach,Commercial Local,Inside,No appreciable view,Tile Profile,"Roughcast,etc",Residential-Dwelling-1914/1929-poor,,,,No,-43.5112802,172.6262743
22 Alexandra Street,Richmond,Christchurch City,8013,Unit,1,1,,1,,812,160,1905,385,26/08/2025,29,Metro Advances Limited,675000,665000,10000,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Vacant Flat Land,,,,No,-43.5228618,172.652118
142 WAIMAIRI ROAD,ILAM,CHRISTCHURCH,8041,Unit,1,1,,5,5,607,,1960,385,24/01/2025,9,Quinovic Riccarton,1120000,680000,440000,1/08/2022,Multi-unit,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Purpose built flat-1960's-average,nill,,,NO,-43.51996,172.5727881
22 ALEXANDRA STREET,RICHMOND,CHRISTCHURCH,8013,,1,1,,,,812,,1905,385,26/08/2025,36,Metro Advances Limited,675000,665000,10000,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Vacant Flat Land,nill,,,NO,-43.5228618,172.652118
10/300 Armagh Street,City Centre,Christchurch City,8011,apartment,2,1,,1,2,76,72.5,2025,385,19/09/2025,5,The Good Girls Property Management Ltd,582500,293827.4336,288672.5664,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Purpose built flat-1970's-average,partial,fridge,,No,-43.5288721,172.6467645
133 CANON STREET,EDGEWARE,CHRISTCHURCH,8013,Unit,2,2,,,,433,120,1910,385,31/03/2025,165,Cowdy,640000,550000,90000,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Converted Flat-1914/1929-average,nill,,,NO,-43.5155145,172.6452868
5/39 WARD STREET,ADDINGTON,CHRISTCHURCH,8024,Unit,2,1,,1,1,,61,1970,389,7/03/2025,7,"Braziers Limited, (Licensed: Reaa 2008)",370000,116000,254000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,partial,fridge;fridge/freezer,No,NO,-43.545231,172.6195364
6/39 WARD STREET,ADDINGTON,CHRISTCHURCH,8024,Unit,2,1,,1,1,,61,1970,389,6/05/2025,7,"Braziers Limited, (Licensed: Reaa 2008)",370000,116000,254000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,partial,washing machine,No,NO,-43.5451956,172.6195324
2/39 WARD STREET,ADDINGTON,CHRISTCHURCH,8024,Unit,2,1,,1,1,,61,1970,389,24/08/2025,20,"Braziers Limited, (Licensed: Reaa 2008)",370000,116000,254000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,No,NO,-43.5453648,172.6195335
510 BARBADOES STREET,EDGEWARE,CHRISTCHURCH,8013,,2,1,4,,4,1062,,2000,389,19/05/2025,51,"Braziers Limited, (Licensed: Reaa 2008)",1160000,1050000,110000,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Mix.Material,Mix.Material,Residential-Purpose built flat-Mixed Age-average,nill,,No,YES,-43.5164048,172.6463486
7/137 Chester Street East,City Centre,Christchurch City,8011,apartment,1,1,1,,1,100,40,1970,390,2/09/2025,22,"Ray White New Brighton (Results Realty Ltd), (Licensed: REAA 2008)",335000,124000,211000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-1970's-average,partial,fridge;washing machine,,Yes,-43.527477,172.6471931
1/20 LEYDEN STREET,PHILLIPSTOWN,CHRISTCHURCH,8011,,1,1,,1,1,,46,2000,390,4/06/2025,15,Rent Wise Property Management,310000,155000,155000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2000/2009-average,nill,,,NO,-43.5391188,172.6577851
5/4 HENDON STREET,EDGEWARE,CHRISTCHURCH,8013,,1,1,1,,1,71,50,2025,390,27/03/2025,8,Irelands,355000,125000,230000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,,YES,-43.5126476,172.648518
2/371 HEREFORD STREET,LINWOOD,CHRISTCHURCH,8011,,1,1,1,,1,71,50,2025,390,13/06/2025,7,"Glass Miles Ltd, (Licensed: Reaa 2008)",230000,130000,100000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,,YES,-43.5317729,172.6533376
1/8 Clearwater Avenue,Northwood,Christchurch City,8051,house,1,1,3,,1,77,56,2001,390,16/05/2025,131,Trust Living Investment Limited,590000,275506.6079,314493.3921,1/08/2022,Multi Unit - Lifestyle,Rural Urban Fringe,Inside,Focal Point Of view - Water,Tile Profile,"Roughcast,etc",Lifestyle-2000/2009 superior,Fully Furnished,,,No,-43.4569053,172.5974104
4/31 DRAPER STREET,RICHMOND,CHRISTCHURCH,8013,Unit,2,1,,1,1,,54,1975,390,21/07/2025,7,Iron Bridge Property Management - Christchurch,340000,210000,130000,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,No,NO,-43.5234279,172.6557514
6/31 DRAPER STREET,RICHMOND,CHRISTCHURCH,8013,Unit,2,1,,1,1,,54,1970,390,28/07/2025,7,Iron Bridge Chch 01,340000,210000,130000,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-1970's-average,nill,,,NO,-43.5233514,172.6557238
4/31 Draper Street,Richmond,Christchurch City,8013,unit,2,1,,1,1,106,54,1975,390,22/09/2025,2,Iron Bridge Property Management - Christchurch,340000,210000,130000,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,,,,No,-43.5232289,172.655651
2/36 COTTERILL STREET,ADDINGTON,CHRISTCHURCH,8024,Unit,2,1,,1,1,145,57,1980,390,2/05/2025,22,-,360000,143000,217000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1980's-poor,nill,,,NO,-43.5434033,172.6205156
8/246 STANMORE ROAD,RICHMOND,CHRISTCHURCH,8013,Unit,2,1,,1,1,,60,1975,390,18/03/2025,14,"Bright Realty & Property Management, (Licensed: Reaa 2008)",275000,75000,200000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,partial,washing machine,,NO,-43.5224935,172.657155
3/158 STANMORE ROAD,LINWOOD,CHRISTCHURCH,8011,Unit,2,1,1,,1,,60,1975,390,12/05/2025,246,Diane Astle Realty Ltd Mreinz Licensed (Reaa 2008),350000,175000,175000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,YES,-43.5272776,172.6574795
2/377 Cashel Street,Linwood,Christchurch City,8011,unit,2,1,,1,1,106,60,1975,390,11/09/2025,13,Garden City Property Management Ltd,300000,225581.3953,74418.60465,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,,,,No,-43.5325762,172.653667
3/3 BOON STREET,SYDENHAM,CHRISTCHURCH,8023,Unit,2,1,,1,1,,65,1985,390,26/08/2025,15,"Cowdy, (Licensed: Reaa 2008)",360000,210000,150000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1980's-average,nill,,,NO,-43.5542576,172.633782
3/3 Boon Street,Sydenham,Christchurch City,8023,unit,2,1,1,1,1,140,65,1985,390,26/08/2025,29,"Cowdy, (Licensed: REAA 2008)",360000,210000,150000,1/08/2022,Single Unit excluding Bach,,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1980's-average,,,,Yes,-43.5544019,172.6340515
2/355 WORCESTER STREET,LINWOOD,CHRISTCHURCH,8011,Unit,2,1,,1,1,,70,1970,390,4/06/2025,49,Rent Wise Property Management,365000,235000,130000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.5306596,172.654524
2/605 HEREFORD STREET,LINWOOD,CHRISTCHURCH,8011,Unit,2,1,1,,1,,70,1975,390,11/08/2025,30,Iron Bridge Property Management - Christchurch,350000,160000,190000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,YES,-43.5318169,172.6688499
2/496 GLOUCESTER STREET,LINWOOD,CHRISTCHURCH,8011,Unit,2,1,1,1,1,,86,1960,390,19/04/2025,4,"Braziers Limited, (Licensed: Reaa 2008)",350000,245000,105000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1960's-average,partial,dining table;fridge;fridge/freezer,,YES,-43.5300807,172.660967
1/8 BURLINGTON STREET,SYDENHAM,CHRISTCHURCH,8023,,2,3,,,,632,,1910,390,5/06/2025,7,Central Property Management,620000,600000,20000,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Vacant Flat Land,nill,,,NO,-43.5500477,172.6407521
16/169 Fitzgerald Avenue,City Centre,Christchurch City,8011,apartment,1,1,1,1,1,64,40,1990,395,11/07/2025,75,Iron Bridge Property Management - Christchurch,260000,130000,130000,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Fibre Cement,Residential-OYO-1990's-average,partial,fridge;washing machine,,No,-43.5306908,172.649899
2/33 WAIPAPA AVENUE,DIAMOND HARBOUR,DIAMOND HARBOUR,8972,Unit,1,1,,,,,40,1975,395,11/08/2025,30,Bayleys Property Management Ltd,370000,255000,115000,1/08/2022,Single Unit excluding Bach,Residential Banks Peninsula,Inside,No appreciable view,Tile Profile,Fibre Cement,Residential-OYO-1970's-average,,,,NO,-43.6292077,172.7392193
24/169 Fitzgerald Avenue,City Centre,Christchurch City,8011,apartment,1,1,,1,1,64,41,1990,395,19/09/2025,5,"Holmwood Property Management - Sherborne, (Licensed: REAA 2008)",285000,140000,145000,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Fibre Cement,Residential-OYO-1990's-average,partial,fridge;fridge/freezer;microwave;washing machine,,No,-43.5306908,172.649899
2/20 Leyden Street,Phillipstown,Christchurch City,8011,unit,1,1,,1,1,77,46,2000,395,27/08/2025,28,Rent Wise Property Management,310000,155000,155000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2000/2009-average,,,,No,-43.539145,172.6578549
7/73 Clare Road,St. Albans,Christchurch City,8014,unit,1,1,1,1,1,100,50,1970,395,29/08/2025,26,Prestige Property Management Limited,320000,141000,179000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,partial,washing machine,,Yes,-43.5180177,172.6312572
7/73 CLARE ROAD,ST ALBANS,CHRISTCHURCH,8014,,1,1,,1,1,71,50,2025,395,31/08/2025,10,Prestige Property Management Limited,320000,141000,179000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,partial,washing machine,No,NO,-43.5179863,172.6312597
2/14 Sherborne Street,St. Albans,Christchurch City,8014,unit,1,1,1,2,1,100,78.93975904,1975,395,10/09/2025,14,Rent Wise Property Management,680000,402511.2108,277488.7892,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Tile Profile,Concrete,Residential-Purpose built flat-1970's-average,,,Pets OK,Yes,-43.5200569,172.6386483
77 MERSEY STREET,ST ALBANS,CHRISTCHURCH,8014,Unit,1,1,,2,2,771,,1925,395,5/06/2025,2,"Cowdy, (Licensed: Reaa 2008)",900000,460000,440000,1/08/2022,Multi-unit,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Converted Flat-1914/1929-average,partial,washing machine,,NO,-43.5054996,172.6366476
4/39 TOWER STREET,HORNBY,CHRISTCHURCH,8042,Unit,2,1,,1,1,,50,1970,395,23/01/2025,8,Harcourts Asset Managers,375000,219000,156000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-1970's-average,nill,,,NO,-43.5463426,172.5272445
5/46 LONGFELLOW STREET,SYDENHAM,CHRISTCHURCH,8023,Unit,2,1,,,,,50,1975,395,19/06/2025,2,"Irelands, (Licensed: Reaa 2008)",375000,225000,150000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,Pets OK,NO,-43.5556761,172.6412265
3/81 SOUTHAMPTON STREET,SYDENHAM,CHRISTCHURCH,8023,Unit,2,1,,1,1,,60,1975,395,6/03/2025,7,Harcourts Asset Managers,375000,260000,115000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.5539168,172.6413476
2/452 BARBADOES STREET,EDGEWARE,CHRISTCHURCH,8013,Unit,2,1,,1,1,,62,1965,395,29/05/2025,239,Cowdy,315000,260000,55000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1960's-average,nill,,,NO,-43.5192466,172.6462645
483 HEREFORD STREET,LINWOOD,CHRISTCHURCH,8011,Unit,2,1,,2,6,98,73,1975,395,2/06/2025,7,Bespoke Property Management Ltd,540000,201869.1589,338130.8411,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Purpose built flat-1970's-average,nill,,,NO,-43.5317538,172.6604072
57 VOGEL STREET,RICHMOND,CHRISTCHURCH,8013,House,2,1,,1,1,625,74,1930,395,10/06/2025,6,Metro Advances Limited,490000,485000,5000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Corner,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1930's-average,,,,NO,-43.5208441,172.6590177
1/14 SEDDON STREET,SYDENHAM,CHRISTCHURCH,8023,Unit,2,1,,1,1,106,74.5,1970,395,10/02/2025,43,Iron Bridge Chch 01,545000,327000,218000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.5571893,172.6424566
1/443 HILLS ROAD,MAIREHAU,CHRISTCHURCH,8052,Unit,2,1,1,,1,,90,1965,395,11/03/2025,15,Whittle Knight Real Estate Agents,455000,270000,185000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1960's-average,,,,YES,-43.4905158,172.6485259
3/45 GERALDINE STREET,EDGEWARE,CHRISTCHURCH,8013,Unit,2,1,,1,1,498,,1970,395,10/03/2025,169,Holmwood Property Management,1150000,550000,160000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1914/1929-average,nill,,Pets OK,NO,-43.5184332,172.6471729
99 EDGEWARE ROAD,ST ALBANS,CHRISTCHURCH,8014,Unit,2,1,1,,1,574,,1940,395,7/06/2025,3,"Braziers Limited, (Licensed: Reaa 2008)",1050000,600000,450000,1/08/2022,Multi-unit,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Purpose built flat-1940's-average,partial,fridge;fridge/freezer,,YES,-43.5132865,172.6393323
4/411 HEREFORD STREET,LINWOOD,CHRISTCHURCH,8011,Unit,2,1,,,,1012,,1955,395,15/07/2025,7,Myrent.Co.NZ Ltd,1050000,770000,280000,1/08/2022,Multi-unit,Residential Zone D,Inside,No appreciable view,Tile Profile,Brick,Residential-Purpose built flat-1950's-average,nill,,Pets OK,NO,-43.5317043,172.6557481
379 CASHEL STREET,LINWOOD,CHRISTCHURCH,8011,,2,1,1,,1,556,150,1905,395,16/06/2025,27,Garden City Property Management Ltd,570000,485000,85000,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Converted Flat-pre 1914-average,nill,,,YES,-43.5328758,172.6534506
