iter	Passed	Remaining
1463	81452	27762
1464	81506	27706
1465	81554	27648
1466	81614	27594
1467	81675	27540
1468	81740	27488
1469	81788	27429
1470	81851	27376
1471	81902	27319
1472	81961	27264
1473	82024	27211
1474	82078	27155
1475	82159	27108
1476	82213	27052
1477	82274	26997
1478	82324	26940
1479	82370	26881
1480	82415	26822
1481	82460	26763
1482	82505	26704
1483	82560	26648
1484	82609	26590
1485	82655	26531
1486	82705	26474
1487	82750	26415
1488	82795	26356
1489	82840	26297
1490	82885	26238
1491	82930	26179
1492	82978	26121
1493	83031	26065
1494	83091	26011
1495	83161	25960
1496	83210	25902
1497	83260	25845
1498	83314	25789
1499	83358	25729
1500	83402	25671
1501	83448	25612
1502	83493	25553
1503	83538	25494
1504	83594	25439
1505	83666	25388
1506	83720	25332
1507	83792	25282
1508	83854	25228
1509	83905	25171
1510	83957	25115
1511	84058	25073
1512	84144	25026
1513	84193	24968
1514	84250	24913
1515	84308	24858
1516	84361	24802
1517	84417	24747
1518	84473	24691
1519	84525	24634
1520	84568	24575
1521	84621	24519
1522	84683	24465
1523	84743	24411
1524	84789	24352
1525	84849	24298
1526	84911	24244
1527	84956	24185
1528	85001	24127
1529	85050	24069
1530	85109	24015
1531	85175	23962
1532	85228	23906
1533	85295	23853
1534	85355	23799
1535	85416	23745
1536	85472	23689
1537	85519	23631
1538	85568	23574
1539	85618	23517
1540	85681	23463
1541	85757	23413
1542	85801	23354
1543	85852	23298
1544	85897	23239
1545	85941	23180
1546	85986	23122
1547	86031	23063
1548	86076	23005
1549	86118	22946
1550	86170	22889
1551	86230	22835
1552	86274	22776
1553	86317	22718
1554	86361	22659
1555	86405	22600
1556	86457	22544
1557	86504	22486
1558	86550	22428
1559	86597	22371
1560	86643	22313
1561	86694	22256
1562	86742	22198
1563	86788	22141
1564	86835	22083
1565	86869	22022
1566	86918	21965
1567	86979	21911
1568	87037	21856
1569	87095	21801
1570	87153	21746
1571	87219	21693
1572	87286	21641
1573	87338	21584
1574	87383	21526
1575	87427	21468
1576	87472	21410
1577	87517	21352
1578	87565	21295
1579	87637	21243
1580	87698	21189
1581	87760	21135
1582	87842	21086
1583	87921	21036
1584	87986	20983
1585	88034	20926
1586	88082	20869
1587	88179	20823
1588	88230	20766
1589	88274	20708
1590	88318	20650
1591	88361	20591
1592	88405	20533
1593	88449	20475
1594	88528	20425
1595	88594	20372
1596	88648	20316
1597	88702	20260
1598	88759	20205
1599	88805	20147
1600	88864	20092
1601	88927	20039
1602	88987	19984
1603	89045	19929
1604	89117	19877
1605	89171	19822
1606	89225	19766
1607	89269	19708
1608	89330	19653
1609	89386	19598
1610	89449	19544
1611	89507	19489
