index,target_value,target_zscore,Bed_value,Bath_value,Car_value,Land Size (sqm)_value,Floor Size (sqm)_value,Year Built_value,Days on Market_value,Capital Value_value,Last Rental Price_value,Bed_zscore,Bath_zscore,Car_zscore,Land Size (sqm)_zscore,Floor Size (sqm)_zscore,Year Built_zscore,Days on Market_zscore,Capital Value_zscore,Last Rental Price_zscore
606,450.0,-1.1241666666666668,2,1,1.0,508.0,104.0,1990.0,7.0,500000,450.0,-0.6745,0.0,0.0,0.0,-0.35973333333333335,0.22483333333333333,0.0,-0.9197727272727273,-1.1241666666666668
608,420.0,-1.3939666666666666,2,1,1.0,508.0,70.0,1985.0,7.0,380000,420.0,-0.6745,0.0,0.0,0.0,-1.1241666666666668,0.11241666666666666,0.0,-1.6555909090909091,-1.3939666666666666
609,450.0,-1.1241666666666668,2,1,1.0,508.0,70.0,1985.0,7.0,415000,450.0,-0.6745,0.0,0.0,0.0,-1.1241666666666668,0.11241666666666666,0.0,-1.4409772727272727,-1.1241666666666668
613,450.0,-1.1241666666666668,2,1,1.0,508.0,90.0,1990.0,7.0,500000,450.0,-0.6745,0.0,0.0,0.0,-0.6745,0.22483333333333333,0.0,-0.9197727272727273,-1.1241666666666668
617,450.0,-1.1241666666666668,2,1,1.0,508.0,100.0,1975.0,7.0,400000,450.0,-0.6745,0.0,0.0,0.0,-0.44966666666666666,-0.11241666666666666,0.0,-1.5329545454545455,-1.1241666666666668
619,370.0,-1.8436333333333335,2,1,1.0,508.0,90.0,1975.0,7.0,355000,370.0,-0.6745,0.0,0.0,0.0,-0.6745,-0.11241666666666666,0.0,-1.8088863636363637,-1.8436333333333335
620,450.0,-1.1241666666666668,2,1,1.0,190.0,98.0,2020.0,7.0,590000,450.0,-0.6745,0.0,0.0,-2.004588785046729,-0.49463333333333337,0.8993333333333333,0.0,-0.3679090909090909,-1.1241666666666668
621,380.0,-1.7537,2,1,1.0,141.0,98.0,2020.0,7.0,590000,380.0,-0.6745,0.0,0.0,-2.313471962616822,-0.49463333333333337,0.8993333333333333,0.0,-0.3679090909090909,-1.7537
627,420.0,-1.3939666666666666,2,1,1.0,508.0,60.0,1975.0,7.0,315000,420.0,-0.6745,0.0,0.0,0.0,-1.349,-0.11241666666666666,0.0,-2.0541590909090908,-1.3939666666666666
633,380.0,-1.7537,2,1,1.0,508.0,60.0,1975.0,7.0,310000,380.0,-0.6745,0.0,0.0,0.0,-1.349,-0.11241666666666666,0.0,-2.0848181818181817,-1.7537
